# container_name   ASN         subnet
ksa_jed            65001       192.0.2.0/30
ksa_dmm            65001       192.0.2.4/30
ksa_ruh            65001       192.0.2.8/30
uae_auh            65002       192.0.2.64/30
uae_shj            65002       192.0.2.68/30
uae_fjr            65002       192.0.2.72/30
pak_lhr            65003       192.0.2.128/30
pak_khi            65003       192.0.2.132/30
pak_isb            65003       192.0.2.136/30
usa_ny             65004       192.0.2.192/30
usa_dc             65004       192.0.2.196/30
usa_ca             65004       192.0.2.200/30
