#CONTAINER    LOCAL_AS   NEIGHBOR_IP     REMOTE_AS
ksa_jed       65001      10.11.0.1       65001
ksa_dmm       65001      10.11.0.5       65001
ksa_ruh       65001      10.11.0.9       65001
uae_auh       65002      10.12.0.1       65002
uae_shj       65002      10.12.0.5       65002
uae_fjr       65002      10.12.0.9       65002
pak_lhr       65003      10.13.0.1       65003
pak_khi       65003      10.13.0.5       65003
pak_isb       65003      10.13.0.9       65003
usa_ny        65004      10.14.0.1       65004
usa_dc        65004      10.14.0.5       65004
usa_ca        65004      10.14.0.9       65004
